line,rule,error,svg_file
7,"stat             ::= varlist ""="" explist |",object of type 'NoneType' has no len(),
18,"laststat         ::= ""return"" explist? | ""break""",object of type 'NoneType' has no len(),
19,"funcname         ::= Name (""."" Name)* ("":"" Name)?",object of type 'NoneType' has no len(),
20,"varlist          ::= ""var"" ("","" var)*","string indices must be integers, not 'str'",
21,"var              ::= Name | prefixexp ""("" exp "")?"" | prefixexp ""."" Name",object of type 'NoneType' has no len(),
22,"namelist         ::= Name ("","" Name)*",object of type 'NoneType' has no len(),
24,"exp              ::= ""nil"" | ""false"" | ""true"" | Number | String | ""..."" | function |",object of type 'NoneType' has no len(),
26,"prefixexp        ::= ""var"" | functioncall | ""("" exp "")""",object of type 'NoneType' has no len(),
27,"functioncall     ::= prefixexp args | prefixexp "":"" Name args",object of type 'NoneType' has no len(),
28,"args             ::= ""("" (explist)? "")"" | tableconstructor | String",object of type 'NoneType' has no len(),
29,"function         ::= ""function"" funcbody","string indices must be integers, not 'str'",
30,"funcbody         ::= ""("" (parlist)? "")"" block ""end""","string indices must be integers, not 'str'",
32,"tableconstructor ::= ""{"" (fieldlist)? ""}""",object of type 'NoneType' has no len(),
34,"field            ::= ""("" exp "")?"" ""="" exp | Name ""="" exp | exp",object of type 'NoneType' has no len(),
35,"fieldsep         ::= "","" | "";""","string indices must be integers, not 'str'",
36,"binop            ::= ""+"" | ""-"" | ""*"" | ""/"" | ""^"" | ""%"" | "".."" |",object of type 'NoneType' has no len(),
39,"unop             ::= ""-"" | ""not"" | ""#""","string indices must be integers, not 'str'",
40,Name             ::= [a-zA-Z_0-9]+,"string indices must be integers, not 'str'",
41,Number           ::= [0-9]+,"string indices must be integers, not 'str'",
42,"String           ::= '""' [^""]* '""' | ""'"" [^""]* ""'""",object of type 'NoneType' has no len(),
